Id,Locality,Type,SubType,Sale_Type,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20316087,Ertvelde,House,house,Private,329000,2,0,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,0,225,Good,3,FALSE
20316069,Hornu,House,house,Private,180000,3,138,FALSE,FALSE,FALSE,TRUE,1,TRUE,1,140,110,As new,2,TRUE
20316048,Beersel,House,house,Private,369000,6,230,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,230,1660,To be done up,3,TRUE
20316039,Geraardsbergen,House,house,Private,145000,2,80,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,80,30,Good,2,FALSE
20316038,Geraardsbergen,House,house,Private,269000,3,155,TRUE,FALSE,FALSE,TRUE,20,TRUE,170,345,250,Good,2,FALSE
20316037,Geraardsbergen,House,house,Private,139000,2,115,TRUE,FALSE,FALSE,TRUE,4,FALSE,0,119,50,Good,2,FALSE
20315996,Brussel,House,house,Private,1280000,5,518,TRUE,FALSE,TRUE,TRUE,30,TRUE,285,833,0,Good,2,TRUE
20315995,Elsene,House,house,Private,1280000,5,518,TRUE,FALSE,TRUE,TRUE,30,TRUE,285,833,0,Good,2,TRUE
20315994,Watermaal-bosvoorde,House,house,Private,1280000,5,518,TRUE,FALSE,TRUE,TRUE,30,TRUE,285,833,0,Good,2,TRUE
20315970,Jumet,House,house,Private,140000,2,90,TRUE,FALSE,FALSE,TRUE,48,FALSE,0,138,605,Good,3,FALSE
20315960,Blaasveld,House,villa,Private,749000,7,373,TRUE,FALSE,TRUE,TRUE,0,FALSE,0,373,923,As new,4,TRUE
20315930,Herentals,House,house,Private,299000,3,130,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,130,344,Not Known,3,FALSE
20315897,Beerlegem,House,house,Private,149900,2,60,FALSE,FALSE,FALSE,TRUE,0,TRUE,140,200,200,Good,4,FALSE
20315889,Aalst,House,house,Private,219000,3,0,FALSE,FALSE,FALSE,TRUE,0,TRUE,64,64,183,To be done up,2,FALSE
20315886,Gistel,House,house,Private,550000,5,216,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,216,1806,Good,4,FALSE
20315876,Herzele,House,house,Private,300000,3,115,TRUE,FALSE,FALSE,TRUE,18,FALSE,0,133,299,As new,3,TRUE
20315875,Leuven,House,house,Private,695000,3,195,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,215,694,As new,4,FALSE
20315873,Saint-Amand,House,house,Private,239000,2,195,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,195,1048,To be done up,2,FALSE
20315872,Grobbendonk,House,house,Private,495000,3,192,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,192,566,Not Known,3,FALSE
20315871,Deerlijk,House,house,Private,319000,3,155,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,155,234,Good,0,FALSE
20315870,Herentals,House,house,Private,269000,3,141,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,141,177,Good,2,FALSE
20315866,Aalst,House,house,Private,225000,3,100,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,100,121,Not Known,0,FALSE
20315865,Brugge,House,house,Private,795000,8,386,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,386,160,To renovate,0,FALSE
20315862,Elsene,Apartment,apartment,Private,1250000,2,153,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,153,0,As new,3,FALSE
20315859,Kemzeke,House,house,Private,396353,3,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,187,As new,0,FALSE
20315855,Berlare,House,house,Private,540000,3,188,FALSE,FALSE,FALSE,TRUE,17,FALSE,0,205,634,Good,3,FALSE
20315854,Haacht,House,house,Private,399000,5,174,TRUE,FALSE,FALSE,TRUE,0,TRUE,100,274,310,Good,4,TRUE
20315852,Gellik,House,mixed-use-building,Private,175000,3,89,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,89,260,Not Known,0,FALSE
20315851,Mol,Apartment,apartment,Private,224000,2,126,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,126,0,Good,2,FALSE
20315847,Wilsele,House,house,Private,430000,3,144,FALSE,FALSE,FALSE,TRUE,12,FALSE,0,156,104,Not Known,0,FALSE
20315846,Fontaine-Valmont,House,exceptional-property,Private,600000,4,0,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,0,0,Good,3,TRUE
20315845,Emelgem,House,house,Private,498000,3,181,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,181,2503,Not Known,0,FALSE
20315843,Edegem,Apartment,apartment,Private,492216,3,165,FALSE,FALSE,FALSE,TRUE,6,FALSE,0,171,0,Not Known,0,FALSE
20315840,Messelbroek,House,villa,Private,749000,4,333,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,333,1917,Good,4,TRUE
20315838,Antwerpen,House,house,Private,849000,7,375,TRUE,FALSE,FALSE,TRUE,0,TRUE,70,445,176,Good,0,FALSE
20315837,Lauwe,House,house,Private,89000,2,103,FALSE,FALSE,FALSE,TRUE,27,TRUE,123,253,245,To renovate,0,FALSE
20315836,Antwerpen,House,house,Private,485000,2,156,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,156,32,Not Known,2,FALSE
20315834,Boekhoute,House,house,Private,345000,3,145,FALSE,FALSE,FALSE,TRUE,0,TRUE,856,1001,1060,Good,4,FALSE
20315830,Kessel-Lo,Apartment,apartment,Private,385000,2,122,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,122,0,Good,0,FALSE
20315829,Asper,Apartment,apartment,Private,317000,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,Good,0,FALSE
20315827,Kemzeke,House,house,Private,396353,3,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,187,As new,0,FALSE
20315805,Anderlecht,Apartment,flat-studio,Private,129000,1,35,TRUE,FALSE,FALSE,TRUE,4,FALSE,0,39,0,Good,2,TRUE
20315792,Afsnee,Apartment,apartment,Private,380000,2,99,TRUE,FALSE,FALSE,TRUE,10,FALSE,0,109,0,Good,0,FALSE
20315765,Herzele,House,house,Private,315000,3,216,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,216,250,Good,0,FALSE
20315758,Vorst,Apartment,flat-studio,Private,205000,0,48,TRUE,FALSE,FALSE,TRUE,3,FALSE,0,51,0,As new,2,TRUE
20315720,Lembeek,House,house,Private,265000,3,160,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,160,450,To be done up,2,FALSE
20315712,Aartselaar,Apartment,apartment,Private,399500,3,96,TRUE,FALSE,FALSE,TRUE,7,FALSE,0,103,0,Not Known,0,FALSE
20315702,Bassevelde,House,house,Private,475000,4,208,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,208,342,Not Known,2,FALSE
20315699,Eeklo,House,house,Private,235000,2,0,TRUE,FALSE,TRUE,FALSE,0,FALSE,0,0,103,Good,2,FALSE
20315692,Marcinelle,House,house,Private,168000,2,102,TRUE,FALSE,FALSE,TRUE,10,TRUE,100,212,235,Not Known,2,FALSE
20315691,Courcelles,House,villa,Private,149000,2,80,TRUE,FALSE,FALSE,TRUE,20,TRUE,1000,1100,1531,Not Known,4,FALSE
20315565,Haine-Saint-Paul,House,house,Private,100000,2,144,TRUE,FALSE,FALSE,TRUE,25,FALSE,0,169,65,To renovate,2,FALSE
20315559,Gent,House,house,Private,725000,5,254,TRUE,FALSE,FALSE,FALSE,0,TRUE,70,324,140,As new,2,FALSE
20315537,Schellebelle,House,house,Private,299000,2,120,FALSE,FALSE,FALSE,FALSE,0,TRUE,158,278,332,Just renovated,0,FALSE
20315528,Sterrebeek,House,house,Private,625000,4,238,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,238,535,Not Known,4,FALSE
20315524,Kortenberg,Apartment,apartment,Private,365000,2,112,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,123,0,Not Known,2,FALSE
20315523,Aalst,House,house,Private,279000,3,0,TRUE,FALSE,FALSE,TRUE,0,TRUE,40,40,143,To be done up,2,FALSE
20315519,Auby-Sur-Semois,Apartment,apartment,Private,239900,2,97,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,97,0,As new,0,TRUE
20315518,Berchem,Apartment,apartment,Private,408000,2,107,TRUE,FALSE,FALSE,TRUE,11,FALSE,0,118,0,As new,2,FALSE
20315517,Anseremme,House,house,Private,179000,2,124,FALSE,FALSE,FALSE,TRUE,9,FALSE,0,133,950,Good,3,FALSE
20315515,Bergilers,Apartment,apartment-block,Private,1295000,3,1363,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,1363,4528,Good,4,FALSE
20315513,Bergilers,House,mixed-use-building,Private,1295000,3,1363,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,1363,4528,Good,4,FALSE
20315509,Asse,Apartment,duplex,Private,320000,2,108,FALSE,FALSE,FALSE,TRUE,34,FALSE,0,142,0,As new,2,FALSE
20315506,Peutie,House,house,Private,570000,5,308,TRUE,FALSE,FALSE,TRUE,20,TRUE,50,378,132,Good,2,TRUE
20315504,Aarschot,House,house,Private,698000,3,282,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,282,989,As new,4,FALSE
20315503,Sint-pieters-woluwe,House,house,Private,670000,4,180,FALSE,FALSE,FALSE,FALSE,0,TRUE,170,350,270,To renovate,2,FALSE
20315502,Sint-pieters-woluwe,Apartment,apartment,Private,619000,3,155,TRUE,FALSE,FALSE,TRUE,33,FALSE,0,188,0,As new,0,TRUE
20315501,Asse,Apartment,duplex,Private,359900,2,108,FALSE,FALSE,FALSE,TRUE,34,FALSE,0,142,0,As new,2,FALSE
20315500,Asse,Apartment,ground-floor,Private,325000,2,89,FALSE,FALSE,FALSE,TRUE,28,TRUE,13,130,0,As new,2,FALSE
20315499,Asse,Apartment,ground-floor,Private,317500,2,89,FALSE,FALSE,FALSE,TRUE,24,TRUE,13,126,0,As new,2,FALSE
20315498,Asse,Apartment,apartment,Private,310500,2,86,FALSE,FALSE,FALSE,TRUE,12,FALSE,0,98,0,As new,2,FALSE
20315497,Asse,Apartment,ground-floor,Private,268800,1,77,TRUE,FALSE,FALSE,TRUE,22,TRUE,16,115,0,As new,2,FALSE
20315496,Asse,Apartment,apartment,Private,345000,2,97,FALSE,FALSE,FALSE,TRUE,14,FALSE,0,111,0,As new,2,FALSE
20315495,Asse,Apartment,ground-floor,Private,315000,2,86,FALSE,FALSE,FALSE,TRUE,15,TRUE,32,133,0,As new,2,FALSE
20315490,Baisy-Thy,House,house,Private,695000,8,437,TRUE,FALSE,FALSE,TRUE,50,TRUE,1720,2207,2064,To be done up,4,TRUE
20315488,Beerzel,House,house,Private,690000,4,270,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,270,1092,Good,4,FALSE
20315487,Keerbergen,Apartment,apartment,Private,385000,3,156,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,156,0,Good,2,TRUE
20315483,Gent,Apartment,apartment,Private,242000,1,60,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,60,0,Good,2,TRUE
20315481,Ronse,House,house,Private,229000,4,136,TRUE,FALSE,FALSE,TRUE,15,TRUE,215,366,307,As new,3,TRUE
20315479,Kapellen,Apartment,apartment,Private,311500,2,86,TRUE,FALSE,FALSE,TRUE,11,TRUE,20,117,0,Not Known,4,FALSE
20315478,Kapellen,Apartment,apartment,Private,550000,3,128,TRUE,FALSE,FALSE,TRUE,69,FALSE,0,197,0,Not Known,4,FALSE
20315477,Kapellen,Apartment,apartment,Private,257500,1,61,TRUE,FALSE,FALSE,TRUE,24,FALSE,0,85,0,Not Known,4,FALSE
20315475,Kapellen,Apartment,apartment,Private,343500,2,95,TRUE,FALSE,FALSE,TRUE,13,FALSE,0,108,0,Not Known,4,FALSE
20315474,Kapellen,Apartment,apartment,Private,215500,1,57,TRUE,FALSE,FALSE,TRUE,4,FALSE,0,61,0,Not Known,4,FALSE
20315473,Kapellen,Apartment,apartment,Private,378500,3,107,TRUE,FALSE,FALSE,TRUE,43,FALSE,0,150,0,Not Known,4,FALSE
20315471,Schaarbeek,Apartment,penthouse,Private,725000,3,170,TRUE,FALSE,FALSE,TRUE,150,FALSE,0,320,0,As new,4,TRUE
20315469,Bras,Apartment,penthouse,Private,395000,3,138,TRUE,FALSE,FALSE,TRUE,46,FALSE,0,184,0,As new,0,FALSE
20315457,Achêne,House,house,Private,310000,2,150,TRUE,FALSE,FALSE,TRUE,15,TRUE,158,323,158,Not Known,3,FALSE
20315455,Nil-Saint-Vincent-Saint-Martin,House,house,Private,479000,3,134,TRUE,FALSE,FALSE,TRUE,31,TRUE,555,720,706,Good,4,TRUE
20315415,Jumet,House,house,Private,139000,3,104,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,104,0,To be done up,2,FALSE
20315413,Beerse,House,house,Private,2200000,5,614,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,614,87037,As new,4,TRUE
20315395,Geluwe,House,house,Private,175000,2,102,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,102,168,Good,0,FALSE
20315297,Pommeroeul,House,villa,Private,885000,6,450,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,450,3700,As new,4,TRUE
20315287,Koekelberg,Apartment,apartment,Private,279000,2,95,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,95,0,Good,0,FALSE
20315257,Beveren-waas,Apartment,apartment,Private,249000,2,98,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,98,0,Just renovated,2,FALSE
20315256,Blankenberge,Apartment,apartment,Private,215000,2,77,TRUE,FALSE,FALSE,TRUE,6,FALSE,0,83,0,Good,2,TRUE
20315243,Hornu,Other,kot,Private,55000,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,16,0,Good,2,FALSE
20315236,Ganshoren,House,house,Private,269000,3,136,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,136,67,To renovate,2,FALSE
20315222,Assebroek,House,house,Private,219000,2,80,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,80,769,Good,4,FALSE
20315221,Assebroek,House,house,Private,229000,2,80,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,80,960,Good,4,FALSE
20315218,Brugge,House,house,Private,369000,3,0,FALSE,FALSE,FALSE,TRUE,0,TRUE,104,104,214,Good,2,FALSE
20315212,Sint-Andries,House,house,Private,635000,3,0,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,0,1050,Good,4,FALSE
20315210,Damme,House,house,Private,260000,3,157,FALSE,FALSE,FALSE,TRUE,30,FALSE,0,187,351,To renovate,2,FALSE
20315208,Maldegem,House,house,Private,259000,4,143,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,143,870,Good,4,FALSE
20315205,Rillaar,House,house,Private,245000,3,145,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,145,580,Good,3,FALSE
20315204,Deurle,House,villa,Private,1950000,5,546,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,546,2008,To renovate,4,FALSE
20315203,Deurle,House,villa,Private,3695000,4,424,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,424,2101,Good,4,FALSE
20315201,Astene,House,villa,Private,1300000,5,558,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,558,1734,To renovate,4,FALSE
20315199,Astene,House,house,Private,635000,4,201,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,221,308,Good,3,FALSE
20315198,Astene,House,house,Private,495000,4,211,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,211,240,Good,3,FALSE
20315197,Astene,House,villa,Private,945000,4,217,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,217,1194,As new,4,FALSE
20315196,Deurle,Other,country-cottage,Private,3850000,5,617,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,617,13102,As new,4,FALSE
20315195,Afsnee,Apartment,apartment,Private,365000,3,126,FALSE,FALSE,TRUE,TRUE,8,FALSE,0,134,0,As new,0,FALSE
20315194,Astene,House,villa,Private,1795000,4,389,FALSE,FALSE,TRUE,TRUE,0,TRUE,2005,2394,2552,Good,4,FALSE
20315193,Bottelare,Other,farmhouse,Private,1350000,6,730,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,730,3380,Good,4,FALSE
20315192,Astene,House,villa,Private,1985000,4,440,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,440,3815,Not Known,4,FALSE
20315191,Deurle,House,villa,Private,2275000,7,630,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,630,2393,To renovate,4,FALSE
20315190,Sint-martens-latem,House,villa,Private,1265000,3,245,FALSE,FALSE,FALSE,TRUE,28,FALSE,0,273,962,As new,4,FALSE
20315189,Deurle,House,villa,Private,899000,4,553,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,553,1131,To be done up,4,FALSE
20315188,Afsnee,House,villa,Private,1245000,7,1038,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,1038,3130,Good,4,FALSE
20315187,De Pinte,House,villa,Private,1095000,3,201,FALSE,FALSE,FALSE,TRUE,0,TRUE,2300,2501,2595,To renovate,4,FALSE
20315186,De Pinte,House,villa,Private,1240000,4,280,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,300,940,As new,4,FALSE
20315184,Deurle,House,villa,Private,1295000,4,292,FALSE,FALSE,FALSE,TRUE,30,FALSE,0,322,871,As new,4,TRUE
20315182,Deurle,House,villa,Private,2200000,4,254,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,254,4555,Good,4,FALSE
20315181,Sint-martens-latem,House,villa,Private,845000,5,292,FALSE,FALSE,FALSE,TRUE,20,FALSE,0,312,841,To renovate,4,TRUE
20315180,Sint-martens-latem,House,villa,Private,975000,3,241,FALSE,FALSE,FALSE,TRUE,24,FALSE,0,265,621,Good,4,FALSE
20315178,Quaregnon,House,house,Private,100000,2,110,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,110,565,To renovate,2,TRUE
20315176,Gontrode,House,house,Private,419000,3,160,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,160,0,Good,4,FALSE
20315168,Elsene,Apartment,penthouse,Private,865000,3,195,TRUE,FALSE,FALSE,TRUE,45,FALSE,0,240,0,To renovate,3,TRUE
20315166,Faymonville,House,exceptional-property,Private,819000,6,312,TRUE,FALSE,FALSE,TRUE,59,TRUE,3877,4248,4102,Good,4,TRUE
